                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.213,                 2.0896,                 1.7669,                0.16966,                0.25095,                0.14796,                0.03511,                 3.0716,                 4.6277,                 4.5467,             0.00054969,             0.00054969,             0.00054969
                      2,                 1.5764,                 1.9965,                 2.0312,                0.08837,                0.13805,                0.01978,                0.00652,                 3.6807,                 27.754,                 5.0421,              0.0010944,              0.0010944,              0.0010944
                      3,                 1.6117,                 2.0046,                 2.0728,                 0.0341,                0.31736,                0.03114,                 0.0078,                 3.5027,                 241.78,                 26.811,              0.0016281,              0.0016281,              0.0016281
                      4,                 1.6074,                 1.9818,                 2.0749,                0.00187,                0.41556,                0.00158,                0.00036,                 3.8859,                 3289.3,                 30.999,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.5676,                 1.9568,                 2.0475,                0.12975,                0.52419,                0.14656,                0.04578,                 2.5016,                 3.3594,                 3.5613,               0.001601,               0.001601,               0.001601
                      6,                 1.4795,                  1.868,                 1.9908,                0.32354,                0.39943,                 0.3119,                0.10934,                 2.5375,                 3.3557,                 4.2272,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.4302,                 1.8188,                 1.9522,                0.31993,                0.37096,                0.28645,                0.08245,                 2.2696,                 2.4636,                  3.286,               0.001568,               0.001568,               0.001568
                      8,                 1.4641,                 1.7985,                  1.958,                0.34436,                0.54317,                0.40958,                 0.1705,                 1.9675,                  2.162,                 3.2157,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.4715,                 1.8005,                 1.9363,                0.32115,                0.36563,                0.27853,                  0.108,                 2.0534,                 2.3677,                 3.4295,               0.001535,               0.001535,               0.001535
                     10,                 1.4071,                 1.7854,                  1.905,                0.29858,                0.46653,                0.36668,                0.11525,                 2.2105,                 2.0817,                 3.5316,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.3608,                 1.7264,                  1.882,                0.39828,                0.64753,                0.44501,                0.16215,                 1.9749,                 2.1781,                 3.0929,               0.001502,               0.001502,               0.001502
                     12,                 1.4539,                  1.786,                  1.919,                0.35714,                 0.5944,                0.48597,                0.16541,                 2.0145,                 2.2848,                 3.6128,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.3631,                 1.6905,                 1.8668,                0.41863,                0.62429,                0.47584,                0.17165,                 2.2098,                 2.0702,                 3.3742,               0.001469,               0.001469,               0.001469
                     14,                 1.3631,                 1.6787,                 1.8715,                0.32792,                0.48116,                0.24899,                0.07078,                 2.4985,                 2.4722,                 3.7586,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.3662,                 1.7332,                 1.8574,                0.57801,                0.70778,                0.69337,                0.28371,                 1.8282,                  1.856,                 2.9911,               0.001436,               0.001436,               0.001436
                     16,                 1.4013,                  1.681,                 1.8892,                0.51548,                 0.7519,                0.65253,                0.33927,                 1.8063,                 1.5599,                 3.1389,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.4128,                 1.6181,                 1.8896,                0.53566,                0.74236,                0.70214,                0.28653,                 1.9513,                 1.6832,                 3.2026,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.3479,                 1.6169,                 1.8435,                 0.5059,                 0.5759,                0.59384,                0.27183,                 1.7553,                 1.9302,                 2.8751,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.3767,                 1.6385,                  1.862,                 0.4268,                 0.6888,                 0.6453,                0.30025,                 1.7673,                 1.9945,                 3.1052,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.3253,                 1.6194,                 1.8342,                0.53669,                0.80328,                0.72396,                0.31227,                 1.7313,                  1.792,                 2.8194,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.2754,                 1.5421,                 1.7902,                0.51058,                0.79602,                0.73738,                0.33521,                 1.8073,                  1.609,                 2.9605,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.2511,                 1.5334,                 1.7692,                 0.6623,                0.75332,                 0.7538,                0.33889,                 1.7403,                 1.7154,                 2.9707,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.3345,                 1.4625,                 1.8218,                0.54272,                0.72531,                0.62556,                0.28503,                  1.742,                 1.6499,                 2.8675,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.2137,                 1.5033,                 1.7468,                0.57625,                0.66005,                0.66578,                0.28152,                 1.9493,                 1.5756,                  3.367,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.1642,                 1.4537,                 1.7038,                0.72114,                0.75474,                0.79015,                0.31749,                 1.9353,                 1.4163,                 3.5473,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.2974,                 1.5045,                 1.7646,                0.66642,                0.78558,                0.78735,                0.35757,                 1.6628,                 1.5303,                  2.883,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.1972,                 1.4432,                 1.7292,                0.70905,                0.70636,                 0.7493,                0.30877,                 1.7935,                 1.5756,                 2.8618,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.1805,                 1.4794,                 1.7246,                0.76506,                0.69165,                0.78148,                0.40479,                 1.6348,                 1.2965,                 2.7039,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.2101,                 1.4174,                 1.7375,                0.74863,                0.72249,                0.77036,                0.40531,                   1.57,                 1.2127,                 2.6211,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.1965,                 1.4161,                 1.7058,                0.69164,                0.77681,                0.81673,                 0.3768,                 1.6143,                 1.5441,                 2.5746,              0.0011884,              0.0011884,              0.0011884
                     31,                  1.187,                 1.4467,                 1.7197,                0.67097,                0.62856,                0.76478,                0.40358,                 1.4672,                 1.3959,                 2.4743,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.2077,                   1.43,                 1.7254,                0.67042,                 0.7519,                0.77572,                0.39485,                  1.597,                 1.4902,                 2.6723,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.1505,                 1.3619,                 1.6625,                0.74269,                0.76603,                0.80653,                 0.4092,                 1.6305,                 1.4627,                  2.694,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.1122,                 1.3827,                 1.6747,                0.71002,                 0.7751,                0.81463,                0.41343,                 1.4803,                 1.3078,                 2.5154,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.1099,                 1.3425,                 1.6696,                 0.6562,                0.78075,                0.75234,                0.45251,                  1.454,                 1.3403,                 2.4996,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.1076,                 1.3771,                 1.6538,                0.71444,                 0.7519,                0.78745,                0.46766,                 1.4268,                 1.3265,                 2.4063,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.1401,                 1.3586,                  1.655,                0.71379,                 0.7397,                0.77034,                0.42022,                 1.4878,                  1.352,                  2.459,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.1156,                  1.339,                 1.6526,                0.75842,                 0.7752,                0.87082,                0.48202,                 1.3666,                  1.285,                 2.3416,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.0832,                  1.332,                 1.6269,                0.72784,                0.72716,                0.79277,                0.48227,                 1.4079,                 1.2619,                 2.3707,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.0458,                 1.2647,                 1.6165,                0.78387,                0.79529,                0.84051,                0.47779,                 1.3702,                 1.1452,                  2.346,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.1319,                 1.3005,                 1.6585,                0.86884,                0.82216,                0.87529,                0.51284,                 1.3908,                 1.1062,                 2.3365,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.1133,                 1.3075,                 1.6503,                0.86714,                 0.7092,                0.84092,                0.48933,                 1.4609,                 1.1801,                 2.4531,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.0346,                 1.2807,                 1.6034,                0.84352,                0.67563,                0.84816,                0.45983,                 1.3534,                 1.2211,                 2.2927,             0.00097386,             0.00097386,             0.00097386
                     44,                  1.079,                 1.2368,                 1.6381,                 0.8507,                0.80004,                 0.8614,                0.56091,                 1.1866,                 1.0647,                 2.0697,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.0983,                 1.2849,                  1.619,                0.79693,                0.76945,                 0.8351,                0.53322,                 1.2979,                 1.1078,                 2.1422,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.0295,                   1.23,                 1.5751,                0.82594,                0.83112,                0.88277,                0.56137,                 1.2911,                 1.0613,                 2.2253,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.0845,                 1.2413,                 1.6175,                0.88069,                0.66818,                0.84178,                0.50009,                 1.3749,                 1.1941,                 2.3289,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.0384,                 1.2269,                  1.592,                0.87266,                0.78416,                0.89788,                0.58024,                 1.2124,                 1.0615,                  2.095,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.0385,                 1.2006,                 1.5933,                0.87869,                0.79634,                0.88878,                0.54585,                 1.2039,                 1.0625,                 2.1105,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.0043,                 1.1741,                 1.5513,                 0.8353,                0.84367,                0.91114,                0.54742,                 1.3673,                0.96119,                 2.3453,             0.00085834,             0.00085834,             0.00085834
                     51,                0.99939,                 1.1647,                 1.5554,                0.85666,                0.87948,                0.90695,                0.59138,                 1.2201,                 1.0163,                   2.12,             0.00084184,             0.00084184,             0.00084184
                     52,                   1.05,                  1.212,                 1.6064,                0.80944,                0.85225,                0.89205,                0.56837,                 1.1233,                0.98458,                 1.9944,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.0261,                 1.1576,                 1.5576,                 0.8807,                0.80097,                0.90473,                 0.5925,                 1.2067,                0.97788,                 2.1085,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.0148,                 1.2322,                 1.5891,                0.89119,                0.79981,                0.91454,                0.61082,                 1.2102,                0.99551,                 2.0819,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.0142,                 1.1715,                 1.5703,                0.81965,                0.89421,                 0.9288,                0.62476,                   1.19,                0.96133,                  2.045,             0.00077582,             0.00077582,             0.00077582
                     56,                0.99243,                 1.1449,                 1.5508,                0.90151,                0.84279,                0.92883,                0.60332,                 1.2145,                0.90463,                 2.1856,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.0308,                 1.1762,                 1.5769,                0.86665,                0.76376,                 0.8996,                0.56362,                 1.3158,                0.99593,                 2.3292,             0.00074282,             0.00074282,             0.00074282
                     58,                0.97474,                 1.1298,                  1.555,                0.84405,                0.72646,                0.86481,                0.54795,                 1.2861,                 1.1767,                 2.2158,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.0207,                 1.1418,                 1.5635,                0.85175,                0.85686,                0.90019,                0.60162,                 1.1317,                0.95365,                 1.9933,             0.00070981,             0.00070981,             0.00070981
                     60,                0.98476,                 1.1097,                 1.5469,                0.76651,                0.81832,                 0.8447,                0.55424,                 1.2105,                 1.0683,                 2.0848,             0.00069331,             0.00069331,             0.00069331
                     61,                0.97765,                 1.1306,                 1.5564,                 0.8998,                0.80598,                0.90598,                0.62594,                 1.1653,                 0.9252,                 2.0343,              0.0006768,              0.0006768,              0.0006768
                     62,                0.96548,                 1.0817,                 1.5425,                0.84624,                0.81842,                0.91939,                0.62636,                 1.1081,                0.95148,                 2.0017,              0.0006603,              0.0006603,              0.0006603
                     63,                0.94625,                 1.1013,                 1.5309,                0.86006,                0.80313,                0.88386,                0.58921,                 1.2055,                0.99426,                 2.0529,              0.0006438,              0.0006438,              0.0006438
                     64,                0.91847,                  1.031,                 1.5099,                0.83434,                0.87951,                0.91954,                0.65698,                 1.0472,                 0.8587,                 1.9012,             0.00062729,             0.00062729,             0.00062729
                     65,                0.89441,                 1.0607,                 1.4795,                0.83774,                0.82267,                0.89478,                0.60619,                 1.1141,                0.91312,                 1.9855,             0.00061079,             0.00061079,             0.00061079
                     66,                0.94102,                 1.0527,                 1.5033,                 0.8853,                  0.787,                0.89103,                0.60131,                 1.1553,                 0.9489,                 2.0248,             0.00059429,             0.00059429,             0.00059429
                     67,                0.93449,                 1.0797,                 1.5078,                0.93445,                0.83254,                0.90883,                0.57666,                 1.1771,                0.91221,                 2.0952,             0.00057778,             0.00057778,             0.00057778
                     68,                0.93101,                 1.0757,                  1.513,                0.75914,                0.83342,                0.86609,                0.58253,                  1.099,                0.99659,                 1.9706,             0.00056128,             0.00056128,             0.00056128
                     69,                0.88715,                 1.0067,                 1.4711,                0.89387,                0.87168,                0.94264,                0.61893,                 1.1676,                0.81808,                 2.0514,             0.00054478,             0.00054478,             0.00054478
                     70,                0.94859,                 1.0543,                 1.4916,                0.84699,                0.88211,                0.91727,                0.65509,                  1.022,                0.83881,                 1.8697,             0.00052827,             0.00052827,             0.00052827
                     71,                0.92315,                 1.0623,                 1.5112,                0.93036,                0.86562,                0.93342,                0.64693,                  1.051,                0.85646,                 1.9428,             0.00051177,             0.00051177,             0.00051177
                     72,                0.94262,                 1.0387,                 1.4991,                  0.887,                0.78416,                0.89417,                0.64506,                 1.0113,                0.85742,                 1.8788,             0.00049527,             0.00049527,             0.00049527
                     73,                0.91158,                0.98353,                 1.4756,                0.89329,                0.76803,                0.90659,                0.66885,                0.97471,                0.89024,                 1.8149,             0.00047876,             0.00047876,             0.00047876
                     74,                0.88701,                 0.9455,                 1.4622,                0.90614,                0.81108,                0.92362,                0.63729,                 1.0843,                0.88046,                 1.9447,             0.00046226,             0.00046226,             0.00046226
                     75,                0.89279,                 1.0326,                  1.478,                0.90756,                0.87574,                 0.9486,                0.67249,                 1.0797,                0.76053,                  1.941,             0.00044576,             0.00044576,             0.00044576
                     76,                0.91809,                 1.0061,                 1.4571,                0.93557,                0.76945,                0.93184,                0.64414,                 1.0607,                0.79022,                 1.9197,             0.00042925,             0.00042925,             0.00042925
                     77,                0.88557,                0.96445,                 1.4587,                0.92583,                0.83228,                0.93131,                0.63526,                  1.115,                0.83473,                 1.9547,             0.00041275,             0.00041275,             0.00041275
                     78,                0.87275,                 0.9988,                 1.4633,                0.89989,                0.88305,                0.94168,                  0.682,                 1.0099,                0.76931,                 1.8493,             0.00039625,             0.00039625,             0.00039625
                     79,                0.89284,                0.95606,                 1.4603,                0.92702,                0.83995,                0.94959,                0.69637,                 1.0045,                0.72015,                 1.8328,             0.00037974,             0.00037974,             0.00037974
                     80,                0.89926,                0.96176,                 1.4661,                0.93068,                0.89464,                0.96409,                0.67374,                 1.0188,                0.71074,                  1.836,             0.00036324,             0.00036324,             0.00036324
                     81,                0.86705,                0.94144,                 1.4572,                0.82167,                0.92505,                0.94414,                0.68681,                0.98315,                0.75708,                 1.7945,             0.00034674,             0.00034674,             0.00034674
                     82,                0.86265,                0.92088,                 1.4444,                0.88658,                 0.9154,                0.97078,                0.70531,                0.96152,                0.71079,                 1.7818,             0.00033023,             0.00033023,             0.00033023
                     83,                0.88226,                0.97293,                 1.4787,                0.96525,                0.85681,                0.97473,                0.69578,                0.97048,                0.68893,                 1.7862,             0.00031373,             0.00031373,             0.00031373
                     84,                0.83526,                 0.9675,                 1.4269,                0.95436,                0.89731,                0.97755,                0.68407,                 1.0117,                0.67636,                 1.8254,             0.00029723,             0.00029723,             0.00029723
                     85,                0.85271,                 0.8944,                 1.4325,                0.94692,                0.84339,                0.96941,                 0.6791,                 1.0116,                 0.7182,                 1.8679,             0.00028072,             0.00028072,             0.00028072
                     86,                0.81798,                0.89334,                 1.4423,                0.91445,                0.83296,                 0.9519,                0.66702,                 1.0614,                0.76991,                  1.922,             0.00026422,             0.00026422,             0.00026422
